customerEmail,customerPhone,customerDevice,customerIPAddress,customerBillingAddress,No_Transactions,No_Orders,No_Payments,transactionId,transactionAmount,transactionFailed,Fraud
josephhoward@yahoo.com,400-108-5415,yyeiaxpltf82440jnb3v,8.129.104.40,"5493 Jones Islands
Brownside, CA 51896",2,2,1,"a9lcj51r, y4wcv03i",44.0,0.0,False
evansjeffery@yahoo.com,1-788-091-7546,r0jpm7xaeqqa3kr6mzum,219.173.211.202,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",3,3,7,"5mi94sfw, br8ba1nu, a33145ss",111.0,1.0,True
andersonwilliam@yahoo.com,024.420.0375,4m7h5ipl1shyavt6vv2r,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",5,3,2,"q3lyvbza, 3alf9irw, 69w9wymx, pegqc4ud, uo3slwh7",131.0,2.0,False
rubenjuarez@yahoo.com,670.664.8168x94985,slovx60t0i558may4ks0,95de:8565:5a66:792c:26e0:6cfb:7d87:11af,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",3,3,1,"vx4cjc27, yiay9b0n, sn3v0ql2",85.0,0.0,False
uchen@malone.com,1-981-877-0870,j0pd24k5h8dl2fqu0cz4,196.89.235.192,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",7,7,6,"q8j3dgni, xjulqy8x, rvm65vr1, kckrvagp, 2slep8t9, yd80pfko, ckk3ux58",411.0,2.0,True
robinsoncynthia@dunn.com,+65(5)8997489788,hbww39m1wenbq4ymjhsx,43.166.163.164,"65233 Hutchinson Mountains
Martinezside, OR 75588",1,1,2,67qcpl0r,25.0,0.0,True
samuel15@saunders-rhodes.com,05045239487,up7afvce5v0omniqlevq,33.67.35.30,"3960 Emily Fort
Staceytown, AR 21817-3325",2,1,2,"9jutaun8, lla8uo92",80.0,1.0,True
johnlowery@gmail.com,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,"300mewnx, cfoevtai, kg0emdbe, crwqqfpi, u2xbyl92, c5w6btep, 7sdl8reg, i25dewqi, bpvdqkr7, qenelvvf, w5wkltds, m0vig74t, ao66pcnh, 0ltw4chk, h1zprjml, aoyfjmwf, hjsrew5l, e93zwysp, t2tr0zve, ckvws967, gzs6it77, soaefwfo, 7df4i4c9, c5usmga3, qio8vvq7, xi23rned, my4g00b1, g3bqf8xd",1033.0,6.0,True
jameslandry@rodriguez.com,1-885-168-1310x338,yz4l2bgbvzra5eb5qcan,c899:ff67:6864:4365:def3:3023:655f:5181,"USNS Price
FPO AE 14661",5,2,1,"idd9amrw, 2ta3i8e2, 8pssnrcy, ksmxqqg3, sihnojhc",109.0,3.0,False
ubranch@rivera-parker.info,(772)964-8162x6310,6mpx027neyz6sh04n3ue,86.16.65.228,"6974 Robertson Common Apt. 902
Port Juanside, ID 80590-9633",0,0,1,,,,True
bowenwilliam@yahoo.com,(128)248-4091x37789,qmntgod0numz62gzbla7,231.91.253.19,"27061 Wright Forks
Craigland, MN 59915",6,5,1,"fkxbbt2y, i2xemksa, ud4zmsnq, wnlc7kcq, uqgebkxo, 9u7gmxy2",167.0,2.0,True
ksummers@hotmail.com,1-023-275-4692,2ngkzu1idwxintmxwmgn,184.97.57.11,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",7,5,4,"46ijodjq, xo1gdp22, 33jfoo59, i8bk4lna, 7p73brx2, i8zlhilq, zwl18ddd",241.0,3.0,False
christineklein@wright-boyd.org,897-464-6425x941,j8cp1uydkuyza2eo0mir,4304:521a:e1c3:766b:21f3:ac3:4ab2:5a2,"67636 Renee Islands Suite 307
Teresaview, ND 09042",4,4,3,"fgobyd98, c4fephmj, 07hkhmmf, jz6qu6zy",117.0,0.0,False
meganwalters@chavez.com,(522)133-8741x643,qsxqbn6qjxkni7f813qn,98.229.160.246,"7541 Olson Glens
Ballshire, IL 29415",4,2,1,"bhil44kr, nw0a0y9s, enl54gvp, hkcfpxan",154.0,2.0,False
caleb94@sutton.info,07452086668,lixwrlvcr4g5ht600dk9,2efe:240f:cc33:306:8e47:b8d5:b466:f12a,"813 Miller Lakes
Lake Christina, SD 29778-1298",5,5,2,"n7vnyysr, mx7hay87, vby375q9, 1ti2lm0o, fwq4f8bn",185.0,0.0,False
gonzalesjackson@gmail.com,1-410-373-1228x129,hmkn4nmfc5q5mgify2zw,229.2.225.188,"566 Courtney Stream
Reedland, NH 84853",4,4,1,"zcnztn97, zx8st0gu, fzvbpn58, 1wa1s613",176.0,0.0,True
dana09@yahoo.com,515.708.2280x105,wb0uylp0rwy01x5j1jzd,166.148.66.158,"812 Moss Radial Suite 844
North Patriciaburgh, MH 13975",6,3,2,"3cryzmi3, koade5oa, 2yzkbxnq, okdmow3s, wt1g1zul, scls9w4j",163.0,3.0,False
alec27@bell.com,895-224-8246x9667,cq5wya63n1w79o0hlnpm,128.61.46.131,"6174 Nicholas Cliffs Suite 855
Websterview, MN 44283-0599",6,4,2,"jbnf5zpw, 60kuyxra, gj13pt1o, u6wa5ysx, vfrua0id, jh5r2s3s",158.0,2.0,False
juliecook@hotmail.com,1-412-734-7967x67388,sj72s0k7wxdrxu3rcmba,61ba:a72b:5401:db1a:9833:d0da:254c:2369,"1750 Alicia Shoals Apt. 000
South Benjamin, ND 75373",2,2,1,"5855qbk5, 6lf1jy8o",25.0,0.0,False
meganberry@clark.biz,1-991-846-6271x54037,2vpovzopjoqppeqfa5nw,73.182.31.59,"34944 Glenn Mountain
Sherryhaven, TN 36252",5,4,2,"74b4ih1u, 1u5d7k9y, o4z2x2e9, 85k8mjpo, ubm4tzca",161.0,1.0,False
psantiago@nelson.net,885.682.0863,qx6nhdabeaj329zdri0o,81.13.103.118,"238 Reeves Villages
Leslieton, SD 12318-4476",1,1,1,6p2l2jxb,31.0,0.0,False
harrisnicholas@mitchell-hancock.com,(922)411-5121x98410,y3m3px7h46gor851y1pu,58.13.30.104,"357 Barbara Crossroad
Jacobsburgh, WY 09289-9170",6,4,2,"k5x38nss, 6mas9ujn, gkolnfbh, vynq8mn9, 3qr93r9x, 5ccytrgf",202.0,2.0,False
davismike@hotmail.com,467-222-0933x910,4hzaaor6es3iyuiavyio,162.48.39.230,"07078 Brent Ways Apt. 999
Alvarezshire, ND 82309",4,3,1,"74rrit1l, 15adxvt9, lyq2dt5j, upzpdr9y",103.0,1.0,False
guerramichael@hotmail.com,299-883-0904,webmbgi39hwejv3d90kt,245.38.171.222,"13553 Michelle Freeway Apt. 290
Tammyhaven, GU 02869-4630",0,0,1,,,,True
natalie98@yahoo.com,02934317865,x5ts382m7jezato91fjz,89e:31aa:e9e2:90ea:aa00:4a8c:805c:20ea,"23831 Adams Tunnel Suite 538
North David, NE 92200-7011",1,1,1,c60my23d,23.0,0.0,False
karen54@mullins.biz,1-019-956-8013,ybz490o0v5781808jtzw,61.219.235.129,"526 Ronald Cliffs
West Christinaville, GU 76418",8,5,2,"cw2apg23, dgx25sxc, o16cfq48, r3gj74vr, n47dl09n, q8z8feru, 5vwwh56j, lkq1ib9d",154.0,3.0,False
avaldez@gmail.com,203-573-2041,bwgvb5w8dm6upvi7ucqc,46.130.37.206,"304 Heather Fall
East Christina, UT 45880-4522",2,1,1,"j8cy8qqf, n4lw10e3",38.0,1.0,False
blackjoel@wright.com,621.591.0560,smxfahki83m4rgsvgvki,9717:f390:29c6:8d60:aee7:a054:1b90:9493,"Unit 0643 Box 8346
DPO AA 55632-6780",6,5,1,"ueos82ny, p5gx6q9w, 2zbevcd8, r1r4ce3k, er8zjgzm, hqtzz2ib",207.0,1.0,False
abigail08@yahoo.com,650-489-7595x7901,0g6v7n9n8k4pekxpqj2e,72.251.102.162,"3764 Stanley Hollow
East Catherine, CT 98470",5,3,2,"oquhv695, r6c5d2vo, 1aq5meg1, zu65tthv, 97sqcd6l",209.0,2.0,False
catherine64@gmail.com,563-396-2038x288,myjxxvd3jfn1eymfy50n,1289:d2a9:c65d:8fc7:7be4:129b:d7b:cf7b,"372 Michael Club Suite 553
Herrerafort, MH 52953",5,4,6,"s3hfs4fc, 8810813t, iw7bakk3, w2nnyowa, c2b8df2a",314.0,1.0,True
romerolauren@hotmail.com,(099)775-4222,k8t5eytta8tc8y593lcr,846:e2b8:6318:5636:946d:ca83:8076:d098,"34958 Sean View
West Robert, DE 93344-9833",2,2,1,"xph56a1n, nonzx5wh",68.0,0.0,False
